method,representation,metric,mean,ci_low,ci_high,num_queries
Positive-only RAG,tfidf_char,utility_recall,0.375,0.3125,0.42734375,48
Positive-only RAG,tfidf_char,over_filter_rate,0.625,0.5729166666666666,0.6875,48
Positive-only RAG,tfidf_char,leakage_utility_tradeoff_score,0.0625,-0.0003906249999999917,0.15625,48
Positive-only RAG,tfidf_word,leakage_rate,0.0,0.0,0.0,48
Positive-only RAG,tfidf_word,utility_recall,0.375,0.3125,0.4270833333333333,48
Positive-only RAG,tfidf_word,over_filter_rate,0.625,0.5625,0.6666666666666666,48
Positive-only RAG,tfidf_word,leakage_utility_tradeoff_score,0.0625,-0.01601562499999999,0.1410156250000001,48
Query Rewrite RAG,hybrid,leakage_rate,0.0,0.0,0.0,48
Query Rewrite RAG,hybrid,utility_recall,0.375,0.3125,0.4375,48
Query Rewrite RAG,hybrid,over_filter_rate,0.625,0.5625,0.6875,48
Query Rewrite RAG,hybrid,leakage_utility_tradeoff_score,0.0625,-0.046875,0.15625,48
Query Rewrite RAG,lsa,leakage_rate,0.0,0.0,0.0,48
Query Rewrite RAG,lsa,utility_recall,0.375,0.3125,0.4270833333333333,48
Query Rewrite RAG,lsa,over_filter_rate,0.625,0.5625,0.6773437500000001,48
Query Rewrite RAG,lsa,leakage_utility_tradeoff_score,0.0625,-0.015625,0.1410156250000001,48
Query Rewrite RAG,tfidf_char,leakage_rate,0.0,0.0,0.0,48
Query Rewrite RAG,tfidf_char,utility_recall,0.375,0.3229166666666667,0.4375,48
Query Rewrite RAG,tfidf_char,over_filter_rate,0.625,0.5729166666666666,0.6875,48
Query Rewrite RAG,tfidf_char,leakage_utility_tradeoff_score,0.0625,-0.03125,0.140625,48
Query Rewrite RAG,tfidf_word,leakage_rate,0.0,0.0,0.0,48
Query Rewrite RAG,tfidf_word,utility_recall,0.375,0.31223958333333335,0.4375,48
Query Rewrite RAG,tfidf_word,over_filter_rate,0.625,0.57265625,0.6875,48
Query Rewrite RAG,tfidf_word,leakage_utility_tradeoff_score,0.0625,-0.03125,0.15625,48
Vanilla RAG,hybrid,leakage_rate,0.5625,0.4166666666666667,0.7083333333333334,48
Vanilla RAG,hybrid,utility_recall,0.22916666666666666,0.16640625,0.28125,48
Vanilla RAG,hybrid,over_filter_rate,0.7708333333333334,0.6979166666666666,0.8333333333333334,48
Vanilla RAG,hybrid,leakage_utility_tradeoff_score,-0.71875,-0.8751302083333333,-0.5466145833333332,48
Vanilla RAG,lsa,leakage_rate,0.5,0.375,0.6458333333333334,48
Vanilla RAG,lsa,utility_recall,0.09375,0.03125,0.15625,48
Vanilla RAG,lsa,over_filter_rate,0.90625,0.84375,0.9583333333333334,48
Vanilla RAG,lsa,leakage_utility_tradeoff_score,-0.859375,-1.0261718750000002,-0.692578125,48
Vanilla RAG,tfidf_char,leakage_rate,0.5625,0.3958333333333333,0.6880208333333334,48
Vanilla RAG,tfidf_char,utility_recall,0.22916666666666666,0.16666666666666666,0.2919270833333334,48
Vanilla RAG,tfidf_char,over_filter_rate,0.7708333333333334,0.69765625,0.8333333333333334,48
Vanilla RAG,tfidf_char,leakage_utility_tradeoff_score,-0.71875,-0.869921875,-0.5618489583333331,48
Vanilla RAG,tfidf_word,leakage_rate,0.5208333333333334,0.3953125,0.6666666666666666,48
Vanilla RAG,tfidf_word,utility_recall,0.20833333333333334,0.13515625,0.27109375,48
Vanilla RAG,tfidf_word,over_filter_rate,0.7916666666666666,0.7184895833333333,0.8544270833333334,48
Vanilla RAG,tfidf_word,leakage_utility_tradeoff_score,-0.7083333333333334,-0.901171875,-0.5255208333333332,48
